Date,Open,High,Low,Close,Trade_count,Vwap,MA,Recommendation,Stock,stock_num
7/2/2021,136.3,138.38,136.15,138.34,520288,137.58,133.614,1,AAPL,1
7/6/2021,138.45,141.49,138.45,140.37,732897,140.1,134.574,2,AAPL,1
7/7/2021,141.87,143.21,141.01,142.89,732023,142.35,135.62,2,AAPL,1
7/8/2021,139.94,142.39,139.03,141.58,770832,140.9,136.563,2,AAPL,1
7/9/2021,141.09,143.96,141,143.43,634476,143.11,137.72,2,AAPL,1
7/12/2021,144.52,144.62,142.33,142.83,516165,143.11,138.846,2,AAPL,1
7/13/2021,142.36,145.75,141.97,143.95,694711,144.36,139.919,2,AAPL,1
7/14/2021,146.38,147.84,145.97,147.42,795718,147.1,141.186,2,AAPL,1
7/15/2021,147.51,148.26,145.39,146.76,696568,146.72,142.325,2,AAPL,1
7/16/2021,146.74,148.02,144.19,144.69,611770,145.91,143.226,2,AAPL,1
7/19/2021,142.08,142.4,140.03,140.8,933873,140.96,143.472,0,AAPL,1
7/20/2021,141.8,145.39,141.3,144.46,611141,143.88,143.881,1,AAPL,1
7/21/2021,143.84,144.44,142.95,143.71,471138,143.69,143.963,0,AAPL,1
7/22/2021,144.24,146.48,144.12,145.1,479699,145.29,144.315,1,AAPL,1
7/23/2021,145.84,146.99,145.22,146.84,456134,146.32,144.656,2,AAPL,1
7/26/2021,146.55,148.09,145.99,147.26,488605,147.39,145.099,2,AAPL,1
7/27/2021,147.39,147.48,143.86,145.07,785169,145.13,145.211,0,AAPL,1
7/28/2021,143.13,145.27,140.89,143.3,827607,143.21,144.799,2,AAPL,1
7/29/2021,143.01,144.85,142.9,143.95,414821,144.12,144.518,2,AAPL,1
7/30/2021,142.71,144.63,142.44,144.17,464977,143.71,144.466,2,AAPL,1
8/2/2021,144.66,145.25,143.57,143.83,456709,144.17,144.769,2,AAPL,1
8/3/2021,144.12,146.33,143.5,145.65,460706,145.07,144.888,1,AAPL,1
8/4/2021,145.56,146.08,144.58,145.25,401836,145.34,145.042,2,AAPL,1
8/5/2021,145.28,146.13,144.48,145.36,355865,145.41,145.068,2,AAPL,1
8/6/2021,144.87,145.62,144.16,144.66,373887,144.74,144.85,0,AAPL,1
8/9/2021,144.72,145.22,144.05,144.61,351878,144.64,144.585,1,AAPL,1
8/10/2021,144.96,146.22,143.83,144.13,430863,144.65,144.491,0,AAPL,1
8/11/2021,144.57,145.24,144.06,144.39,364779,144.55,144.6,2,AAPL,1
8/12/2021,144.71,147.54,144.37,147.39,514473,146.52,144.944,1,AAPL,1
8/13/2021,147.47,147.93,146.77,147.59,407701,147.42,145.286,2,AAPL,1
8/16/2021,147.03,149.66,144.99,149.59,703896,147.89,145.862,2,AAPL,1
8/17/2021,148.71,150.15,147.58,148.67,623047,148.73,146.164,2,AAPL,1
8/18/2021,148.29,149.2,144.67,144.88,645869,146.8,146.127,0,AAPL,1
8/19/2021,143.56,146.51,143.04,145.22,637535,144.96,146.113,2,AAPL,1
8/20/2021,145.99,147,145.3,146.69,412615,146.32,146.316,1,AAPL,1
8/23/2021,146.81,148.67,146.4,148.2,428027,147.98,146.675,2,AAPL,1
8/24/2021,147.94,149.34,147.64,148.11,369948,148.39,147.073,2,AAPL,1
8/25/2021,148.3,148.8,146.31,146.86,460643,147.1,147.32,0,AAPL,1
8/26/2021,146.85,147.61,146.02,146.05,380575,146.62,147.186,2,AAPL,1
8/27/2021,145.99,147.25,145.35,147.1,403948,146.63,147.137,2,AAPL,1
8/30/2021,147.49,151.94,147.11,151.57,659438,150.61,147.335,1,AAPL,1
8/31/2021,151.12,151.26,149.76,150.3,533182,150.49,147.498,2,AAPL,1
9/1/2021,151.29,153.41,150.8,150.97,592569,152.22,148.107,2,AAPL,1
9/2/2021,152.32,153.16,150.86,152.1,519643,152.06,148.795,2,AAPL,1
9/3/2021,152.21,153.07,151.54,152.74,431611,152.47,149.4,2,AAPL,1
9/7/2021,153.4,155.67,152.83,155.11,614637,154.61,150.091,2,AAPL,1
9/8/2021,155.39,155.45,152.42,153.54,594742,153.54,150.634,2,AAPL,1
9/9/2021,153.92,154.53,152.39,152.51,468891,153.29,151.199,2,AAPL,1
9/10/2021,153.43,153.91,147.2,147.47,1166803,149.47,151.341,0,AAPL,1
9/13/2021,149.11,149.89,147.25,148.04,737678,148.19,151.435,2,AAPL,1
9/14/2021,148.83,149.54,145.43,146.62,783563,147.34,150.94,2,AAPL,1
9/15/2021,147.06,147.93,144.89,147.52,618656,146.54,150.662,2,AAPL,1
9/16/2021,146.94,147.47,145.73,147.29,501051,146.66,150.294,2,AAPL,1
9/17/2021,147.32,147.32,144.29,144.58,713096,145.22,149.542,2,AAPL,1
9/20/2021,142.35,143.38,139.84,141.5,1019302,141.31,148.418,2,AAPL,1
9/21/2021,142.47,143.14,141.34,141.98,577586,142.29,147.105,2,AAPL,1
9/22/2021,142.99,144.95,142.25,144.38,544685,143.94,146.189,2,AAPL,1
9/23/2021,145.17,145.59,144.17,145.35,470062,145.21,145.473,2,AAPL,1
9/24/2021,144.19,145.98,144.09,145.44,399234,145.01,145.27,1,AAPL,1
9/27/2021,144,144.49,142.37,143.9,527668,143.64,144.856,0,AAPL,1
9/28/2021,141.8,143.29,140.26,140.48,820510,141.23,144.242,2,AAPL,1
9/29/2021,141.03,142.99,140.6,141.39,524563,141.96,143.629,2,AAPL,1
9/30/2021,142.21,142.92,139.85,140.07,633651,140.96,142.907,2,AAPL,1
10/1/2021,140.47,141.48,137.7,141.21,728237,139.68,142.57,2,AAPL,1
10/4/2021,140.33,140.77,136.87,137.73,823678,137.89,142.193,2,AAPL,1
10/5/2021,138.08,140.8,137.95,139.68,561145,139.57,141.963,2,AAPL,1
10/6/2021,138.06,140.71,136.97,140.57,604013,138.97,141.582,2,AAPL,1
10/7/2021,141.61,142.76,141.28,141.84,449730,142.21,141.231,1,AAPL,1
10/8/2021,142.58,142.72,141.12,141.46,411070,141.73,140.833,2,AAPL,1
10/11/2021,140.83,143.35,140.38,141.37,397255,142.22,140.58,2,AAPL,1
10/12/2021,141.78,141.8,139.62,140.08,522265,140.43,140.54,0,AAPL,1
10/13/2021,139.81,139.97,137.79,139.49,595432,138.94,140.35,2,AAPL,1
10/14/2021,140.67,142.43,140.08,142.31,445633,141.77,140.574,1,AAPL,1
10/15/2021,142.32,143.43,142.06,143.38,426181,142.86,140.791,2,AAPL,1
10/18/2021,142,145.36,141.71,145.07,537141,143.95,141.525,2,AAPL,1
10/19/2021,145.53,147.66,145.07,147.26,528624,146.83,142.283,2,AAPL,1
10/20/2021,147.2,148.24,146.62,147.75,433775,147.59,143.001,2,AAPL,1
10/21/2021,147.31,148.13,146.38,147.97,414768,147.52,143.614,2,AAPL,1
10/22/2021,148.18,148.66,147.14,147.19,430636,147.79,144.187,2,AAPL,1
10/25/2021,147.18,147.86,146.13,147.14,420020,147.01,144.764,2,AAPL,1
10/26/2021,147.82,149.32,147.5,147.81,454828,148.08,145.537,2,AAPL,1
10/27/2021,147.85,148.22,146.99,147.35,402620,147.61,146.323,2,AAPL,1
10/28/2021,148.31,151.62,148.21,151.03,745269,150.06,147.195,2,AAPL,1
10/29/2021,145.73,148.43,144.93,148.29,858642,146.83,147.686,2,AAPL,1
11/1/2021,147.48,148.19,146.31,147.46,526361,147.31,147.925,0,AAPL,1
11/2/2021,147.16,150.04,147.15,148.5,516238,148.84,148.049,1,AAPL,1
11/3/2021,148.87,150.43,148.31,149.96,398298,149.39,148.27,2,AAPL,1
11/4/2021,150.09,150.89,149.12,149.44,457978,149.87,148.417,2,AAPL,1
11/5/2021,150.57,150.88,148.76,149.97,424170,149.79,148.695,2,AAPL,1
11/8/2021,150.1,150.26,148.86,149.14,416563,149.51,148.895,2,AAPL,1
11/9/2021,148.87,150.12,148.76,149.5,454181,149.49,149.064,2,AAPL,1
11/10/2021,148.73,148.83,146.57,146.64,543109,147.32,148.993,0,AAPL,1
11/11/2021,147.67,148.14,146.4,146.59,338545,146.88,148.549,2,AAPL,1
